IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_SEX,DIM_AGE,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2008,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,FEMALE,Y_GE18,9.9610336,8.6869471,11.325359
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1994,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,FEMALE,Y_GE18,4.0664323,3.162203,5.0870921
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2010,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,MALE,Y_GE18,3.597511,2.4364438,4.9967483
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1993,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,MALE,Y_GE18,1.4421673,0.69702272,2.6011944
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2002,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,TOTAL,Y_GE18,4.7847688,4.0093206,5.6971923
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1995,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,TOTAL,Y_GE18,3.0507471,2.4018556,3.8326994
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1999,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,MALE,Y_GE18,2.0486513,1.130213,3.3645812
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1994,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,MALE,Y_GE18,1.5283979,0.75723175,2.7114492
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2021,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,MALE,Y_GE18,5.7424262,4.4359904,7.2776243
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2009,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,MALE,Y_GE18,3.4557879,2.2946699,4.8762646
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2021,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,TOTAL,Y_GE18,11.901668,10.485242,13.405252
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2001,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,MALE,Y_GE18,2.3011144,1.3285349,3.6759358
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2019,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,MALE,Y_GE18,5.2059561,4.0727101,6.4969659
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2022,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,FEMALE,Y_GE18,18.543914,15.889956,21.430299
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2019,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,TOTAL,Y_GE18,10.942467,9.7488642,12.221725
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2013,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,TOTAL,Y_GE18,8.4763825,7.5451419,9.4793826
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1997,YEAR,404,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Kenya,FEMALE,Y_GE18,4.940784,4.0134639,5.9938822
